"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","is_red","free_to_total_sulfur_ratio","sulphates_to_chlorides_ratio","acidity_balance","alcohol_density_interaction","outlier_flag_count"
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,"7",1,0.694444425154322,5.91661736152199,5.83,11.245647,3
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,"3",1,0.499999958333337,8.07681952795477,5.94,9.9102,3
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,"6",1,0.499999985294118,9.15879290847749,10.03,9.90396,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,"5",1,0.323529402249135,7.36832410099867,6.7,9.37932,3
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,"5",1,0.538461528106509,7.99987692497039,5.605,11.527848,3
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"6",1,0.374999953125006,10.8508329610008,10.03,11.737578,3
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,"5",1,0.37313432278904,6.93870470709483,6.92,9.76864,3
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,"5",1,0.199999997333333,4.02513191740932,9.96,9.39812,4
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"7",1,0.413793089179549,16.5851635955659,12.22,9.79706,4
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"5",1,0.349999982500001,8.23517301216159,6.195,9.57024,3
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,"6",1,0.114583330946181,2.46912564145827,6.135,10.260036,3
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"5",1,0.434782589792061,7.78939169061378,14.955,11.134965,3
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,"5",1,0.238095235260771,4.67285352473341,6.345,9.461335,3
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"4",1,0.426229501209352,7.49992187581379,7.23,9.80245,3
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,"5",1,0.24999999702381,7.12491093861327,9.575,10.08485,4
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,"6",1,0.259259249657065,9.99985294333907,11.5,11.28644,4
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,"6",1,0.0227272722107438,5.85983528767333,7.5,9.47435,3
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,"6",1,0.499999990384616,8.33321759420008,5.54,11.428585,3
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,"6",1,0.30357142315051,3.16714613740136,7.58,9.17148,3
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"5",1,0.357142831632655,4.94376467680138,11.8,9.60192,3
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,"5",0,0.603773582057672,7.41366528163308,7.27,8.921449,3
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,"5",1,0.116666664722222,8.93932621722563,9.91,10.178172,6
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,"6",1,0.327586201248514,7.08851786686245,9.44,10.09091,3
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,"5",1,0.328358204054355,2.75861474436478,7.37,9.37556,4
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,"7",1,0.340425524671797,10.850948394166,10.79,10.58516,4
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,"5",1,0.199999986666668,10.1297385748237,9.68,9.59424,3
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,"6",1,0.160377356977572,10.3446492301857,4.1,12.81228,3
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,"5",1,0.409090890495869,6.06054484298138,6.315,9.661782,3
7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,"5",1,0.428571397959186,6.41967383118727,6.865,9.27675,3
9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,"5",1,0.499999986842106,6.81810433972341,8.31,9.2907,3
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,"5",1,0.357142831632655,12.7417299720972,9.55,10.56926,3
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"6",1,0.411764681660901,7.97609552267235,10.4,9.28512,3
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,"5",1,0.285714280612245,3.47825141779506,7.54,9.27024,3
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,"6",1,0.295454542097107,7.49990131708793,9.58,10.08384,4
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,"7",1,0.659574454051607,14.1376872812538,9.55,10.565656,4
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,"6",1,0.409090902892562,4.44441845369325,10.33,10.78056,4
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,"5",1,0.260869561436673,2.80513317958634,7.39,9.27489,4
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"6",1,0.428571421768708,15.7996840063199,4.86,13.8824,3
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,"6",1,0.61904760430839,13.3868808567604,9.65,10.55654,4
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,"6",1,0.720930215792321,8.90611084201809,6.985,11.725778,4
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,"6",1,0.510204071220325,10.4108162901878,11.55,10.29691,3
9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,"6",0,0.165217389867675,5.05741313318238,9.41,9.35112,3
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,"6",1,0.395348828015144,9.41165398054141,13.285,10.014,4
4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,"6",0,0.171641789763867,25.5548456987306,3.915,13.659378,5
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,"5",1,0.499999984375001,7.61354984602448,6.435,10.175112,3
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,"6",1,0.535714266581633,7.62490468869139,4.555,12.4305,3
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,"6",1,0.47619045351474,17.8785169921668,11.86,9.2,4
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"6",1,0.173913035916825,9.32683339583273,11.32,10.09596,4
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,"7",1,0.399999986666667,6.77412070837948,11.61,10.79568,4
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,"5",1,0.583333284722226,4.99993589825772,6.545,9.460765,3
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,"5",1,0.749999984375,8.28559592005828,7.88,9.75296,4
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,"4",0,0.159999999288889,7.67843431367297,9.55,9.977,3
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,"3",1,0.312499980468751,3.14998425007875,9.79,8.39496,4
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,"6",1,0.315789457063713,11.5491331108013,11.14,9.28698,3
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,"5",1,0.314606738038127,7.15781939137483,9.57,9.984,3
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"4",1,0.705882339100346,5.85030033809294,11.13,9.883764,6
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,"5",1,0.112359549299331,3.20222920095954,6.23,8.9658,3
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,"6",1,0.466666635555558,9.41162629961324,10.92,10.07273,3
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"5",1,0.357142831632655,4.94376467680138,11.8,9.60192,3
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,"5",1,0.782608678638942,6.62782990895455,6.34,10.549332,3
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,"5",1,0.74074072702332,9.12488593892576,6.32,9.669251,3
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,"5",1,0.450704219004166,6.96071607141106,9.31,9.80147,3
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,"7",1,0.304347812854443,4.5454227592814,6.785,10.16328,3
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"4",1,0.297872334087823,7.99988571591834,9.91,9.59136,3
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,"5",1,0.526315775623269,7.1716447308613,10.35,10.780344,3
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,"7",1,0.522388051904656,11.3578844705621,11.28,10.80216,4
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"7",1,0.536585352766211,7.9999157903601,11.19,9.873765,3
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,"3",1,0.545454495867773,5.8332638897156,7.28,10.98812,3
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,"7",1,0.547619034580499,9.31494089122067,11.5,10.479,3
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"6",1,0.347826079395085,14.3898929294407,4.66,12.40725,4
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,"7",1,0.424242411386594,9.41165398054141,9.69,10.496325,3
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,"6",1,0.392857128826531,9.24721239556564,8.315,9.39436,4
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,"6",1,0.465517233353151,6.90131124913734,5.535,12.6365,3
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,"6",1,0.826086938563327,12.3609394313968,7.78,11.741472,3
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,"5",1,0.217948715154504,17.8044437940538,4.685,11.325444,4
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"7",1,0.32142855994898,8.10517784023326,12.5,10.79352,4
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,"6",1,0.485714271836735,6.42098504226271,11.51,10.79352,4
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,"5",1,0.333333314814816,2.06996481059822,10.8,10.47795,4
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,"5",1,0.653846128698226,6.09188400133332,6.42,9.479385,4
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,"5",1,0.499999958333337,5.89994100058999,6.86,10.94731,3
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,"5",1,0.230769213017753,6.93324089012147,6.605,9.1816,3
7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,"6",0,0.642201828970625,2.81877302836894,6.97,9.135968,3
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,"6",1,0.478260859168242,8.37489531380858,9.79,9.68836,3
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,"6",0,0.175438594952293,12.2218827254798,3.49,12.306752,4
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,"5",1,0.46268656025841,4.29902524275474,6.93,9.169456,3
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,"6",1,0.55555552469136,7.92673260082194,9.65,9.278982,3
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5",1,0.333333314814816,5.38455621366798,11.91,9.5038,4
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"4",1,0.449999977500001,14.9997916695601,6.92,9.1678,4
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"5",1,0.599999970000001,7.10516966882015,6.505,10.054146,3
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,"5",1,0.223880595344175,5.59317293921238,7.255,9.36992,3
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,"7",1,0.384615355029588,12.5421603023678,9.91,10.4748,3
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,"5",1,0.545454520661158,6.84922124354461,6.42,9.27117,3
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,"6",1,0.627906962141699,7.99990000124998,6.97,10.854002,3
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"4",1,0.499999979166667,5.67894223528105,7.37,9.580608,3
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,"7",1,0.3333332962963,9.1934001064499,9.5,11.4402,3
7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,"5",1,0.446808501131734,6.33793890226898,6.385,9.365408,3
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,"6",1,0.599999940000006,13.1816184603264,10.14,10.869916,5
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,"7",1,0.57894733795014,8.18171192581915,9.56,11.55708,4
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,"5",1,0.211920528397877,6.70877583828053,8.56,9.481,3
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,"4",1,0.230769221893491,8.45058520302531,11.37,10.378264,3
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,"6",1,0.285714272108844,6.88881234652948,11.04,9.2,4
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"4",1,0.593749981445313,8.50733571140729,5.66,10.96128,3
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,"6",0,0.0499999996875,9.3241983216443,6.835,12.156066,3
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,"5",1,0.161290317377732,8.51054776013021,6.55,9.69321,3
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,"6",1,0.391304330812855,10.2701314847097,10.14,11.95656,3
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,"5",1,0.333333305555558,5.21208962369925,6.87,9.172584,3
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,"5",1,0.323529402249135,6.62491718853514,7.29,9.4772,3
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"3",1,0.555555493827167,2.9196867176152,6.02,10.842884,4
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,"5",1,0.499999916666681,8.39988800149331,11.75,10.36776,3
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,"5",1,0.658064507637877,4.83865764884249,5.97,9.45801,3
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,"6",1,0.529411733564016,12.1151516316994,5.6,10.841903,3
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,"5",1,0.555555546737214,12.3807558610181,6.135,9.87525,3
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,"6",1,0.594594578524471,5.42851972838354,6.215,10.56396,4
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,"5",1,0.458333314236112,9.07882791015908,9.825,9,4
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"7",1,0.604166654079861,11.8917311928217,7.87,12.341472,3
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,"6",1,0.320754710929156,8.61692960713184,12.96,9.5133,3
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,"5",1,0.72727270523416,8.46140828602637,7.86,9.65538,4
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,"5",1,0.526315761772855,5.10864012347692,6.465,9.56736,3
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,"5",1,0.333333311111113,5.18066047397019,11.21,9.2,3
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,"6",1,0.649999967500002,5.6779179837459,6.13,11.24802,3
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,"5",1,0.599999980000001,9.6152613428033,6.27,9.771776,3
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,"6",1,0.70967739646202,6.30427930131194,6.79,9.9635,4
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"5",1,0.241758239101558,7.04537448438086,9.01,10.07879,3
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"5",1,0.499999958333337,3.07227064897199,5.615,10.751508,4
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,"5",1,0.394736831717452,2.98102173164842,8.06,9.365596,3
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,"5",1,0.207920790020586,5.36836454353112,10.71,9.50095,3
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,"7",0,0.611570242879585,32.9989000366654,5.17,11.976096,3
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"7",1,0.688311679372576,13.593537600975,8.38,10.95644,3
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,"7",1,0.380952371882086,15.4163454928022,4.48,13.88156,3
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,"8",0,0.551020404414827,23.1701665813029,5.39,11.48516,3
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,"7",1,0.599999940000006,6.249939904424,10.02,11.760352,4
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,"6",1,0.306122442732195,6.47994816041472,10.3,9.6806,4
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,"6",1,0.857142832653062,9.5586829605447,6.885,11.346762,4
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,"5",1,0.371428566122449,6.04644132044976,9.77,9.88119,4
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,"6",1,0.411764681660901,7.97609552267235,10.4,9.28512,3
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"7",1,0.299999970000003,13.8331027816203,10.79,10.853348,3
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,"5",1,0.586956508979206,5.87492656341796,6.92,9.162464,3
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,"5",1,0.232323229976533,6.0713743627289,9.8,9.326877,5
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"7",1,0.32142855994898,8.10517784023326,12.5,10.79352,4
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,"7",1,0.264705874567474,9.0587169562711,10.68,12.068056,3
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,"5",1,0.567164170639341,18.9792045060305,7.72,11.2548,3
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,"6",1,0.170454543517562,15.3842209174124,4.79,11.426055,4
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,"5",1,0.571428555102041,8.73406665738408,7.1,10.859452,3
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,"8",1,0.312499980468751,9.28558163454808,10.35,10.9692,3
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,"5",1,0.27272726918536,6.53837771310624,9.16,9.7804,3
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"4",1,0.127906975256896,6.09518004590432,9.165,11.3113,4
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,"6",1,0.147058822448097,17.727111571713,8.11,9.87228,3
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,"5",1,0.294117629757786,6.6878554913663,7.72,9.37744,3
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,"6",1,0.627906962141699,7.2499093761328,6.51,10.65185,3
10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,"8",1,0.567567559897736,7.59026999674703,9.74,11.735218,4
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"4",1,0.384615355029588,5.93743815168592,6.26,10.967,3
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"4",1,0.708333303819446,6.62642618763629,5.28,11.136944,4
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,"6",1,0.333333311111113,11.3557397332249,11.16,10.1796,4
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,"5",1,0.399999973333335,12.2533485443867,12.04,10.18776,5
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,"6",1,0.627906962141699,7.2499093761328,6.51,10.65185,3
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,"5",1,0.136842103822715,4.82138552334354,7.735,9.0727,3
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,"7",1,0.315789457063713,8.45352109772064,9.5,11.68362,3
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,"7",1,0.428571397959186,6.11565193676085,11.07,11.4747,5
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,"8",1,0.206896544589774,11.3887307120734,12.29,9.78726,4
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,"6",1,0.2399999904,9.36493071538547,9.77,9.29814,3
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,"5",1,0.285714278911565,6.22442628136448,11.52,10.30412,3
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,"7",1,0.434782589792061,7.7980935954716,11.47,10.4,5
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,"5",1,0.180327865896265,6.02402380694208,9.55,9.4829,3
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,"6",1,0.347826079395085,14.3898929294407,4.26,12.40725,5
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,"6",1,0.263157880886427,22.0507166482911,9.17,12.34854,5
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,"6",1,0.249999987500001,3.15998736005056,9.3,10.6893,4
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,"6",1,0.666666592592601,5.92585276724979,9.87,10.361312,4
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,"6",1,0.272727260330579,9.99984848714413,10.65,11.18432,4
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,"5",1,0.585365846519929,3.65851873893298,9.4,8.821296,5
